Rating	Number of ratings	Number of Oscars	Title of the movie
8.1	222933	7	Híd a Kwai folyón
8.1	693005	0	Trainspotting
8.1	727868	0	Fogságban
8.1	476778	0	Warrior - A végső menet
8.1	684292	2	Fargo
8.1	781362	0	Gran Torino
8.1	344776	0	Totoro - A varázserdő titka
8.1	996954	0	Kapj el, ha tudsz
8.1	692485	4	Millió dolláros bébi
8.1	75543	0	A mennyország gyermekei
8.1	777187	0	Szárnyas fejvadász
8.1	112534	0	Aranyláz
8.1	313666	0	Mielőtt felkel a Nap
8.1	707051	3	12 év rabszolgaság
8.1	161890	0	Klaus - A karácsony titkos története
8.1	885004	0	Harry Potter és a Halál ereklyéi 2. rész
8.1	156699	8	A rakparton
8.1	241792	11	Ben Hur
8.1	992881	0	Holtodiglan
8.1	821191	4	A Grand Budapest Hotel
8.1	108537	0	A nap vége
8.1	92594	0	A generális
8.1	173328	1	A harmadik ember
8.1	177463	0	Apám nevében
8.1	342604	5	A szarvasvadász
8.1	170965	4	Barry Lyndon
8.1	535385	2	A fegyvertelen katona
8.1	62333	1	A félelem bére
8.1	189494	0	A halál jele
8.1	51147	0	Ifjabb Sherlock detektív
8.1	201567	0	Eszeveszett mesék
8.1	116548	1	Becsületből elégtelen
8.1	1013181	6	Mad Max: A harag útja
8.1	187339	0	A hetedik pecsét
8.1	178995	0	Mary és Max
8.1	748225	0	Így neveld a sárkányodat
8.1	425521	1	A szoba
8.1	917722	1	Szörny Rt.
8.1	613700	3	A cápa
8.1	498827	1	Holt költők társasága
8.1	815859	0	A nagy Lebowski
8.1	62901	0	Tokiói történet
8.1	56162	0	Szent Johanna - Jeanne d'Arc
8	358728	0	Hotel Ruanda
8	403259	2	Az aszfalt királyai
8	584293	3	Rocky
8	418281	4	A szakasz
8	748354	1	L'ecsó
8	475031	2	Spotlight: Egy nyomozás részletei
8	873367	0	Terminátor - A halálosztó
8	772470	0	Logan - Farkas
8	409356	0	Állj mellém!
8	484760	1	Hajsza a győzelemért
8	161440	4	Hálózat
8	628358	0	Út a vadonba
8	268566	0	Mielőtt lemegy a Nap
8	404915	2	Óz, a csodák csodája
8	34091	0	Az út éneke
8	640553	1	Idétlen időkig
8	65956	7	Életünk legszebb évei
8	413856	2	Az ördögűző
8	746981	2	A hihetetlen család
8	38646	0	Lenni vagy nem lenni
8	177340	0	A gyűlölet
8	61408	0	Az algíri csata
8	1136851	0	A Karib-tenger kalózai: A Fekete Gyöngy átka
8	289796	0	Hacsi, a leghűségesebb barát
8	94804	2	Érik a gyümölcs
8	87293	0	Apám és fiam
8	204095	0	Jai Bhim
8	243094	0	Korcs szerelmek
8	138881	2	A Manderley-ház asszonya
8	179243	1	Bilincs és mosoly
8	152135	1	A szobalány
8	120117	0	Négyszáz csapás
8	239940	5	A muzsika hangja
8	105636	5	Ez történt egy éjszaka
8	121264	0	Persona
8	403953	0	Brian élete
8	203433	1	Szuper haver
8	30926	1	Derszu Uzala
8	464232	1	A segítség
8	427199	2	Aladdin
8	234103	8	Gandhi
8	270382	7	Farkasokkal táncoló
